state_code_year;temperature_mean;drought_mean;precipitation_mean;climat
IA-2001;51,63;0,21;2,88;continental humide ete sec
IA-2002;51,04;-0,26;2,46;continental humide ete sec
IA-2003;50,54;-0,43;2,39;continental humide ete sec
IA-2004;51,32;1,08;2,95;continental humide ete sec
IA-2005;52,41;-0,36;2,49;continental humide ete sec
IA-2006;52,03;-0,7;2,7;continental humide ete sec
IA-2007;51,37;2,4;3,53;continental humide ete sec
IA-2008;48,58;4,79;3,58;continental humide ete sec
IA-2009;49,75;4,42;3,26;continental humide ete sec
IA-2010;51,34;5,27;3,67;continental humide ete sec
IA-2011;51,46;1,52;2,65;continental humide ete sec
IA-2012;54,4;-2,91;2,13;continental humide ete sec
IA-2013;48,9;-1,21;2,87;continental humide ete sec
IA-2014;48,3;1,18;3,22;continental humide ete sec
IA-2015;51,78;3,16;3,54;continental humide ete sec
KS-1992;55,77;1,6;2,82;steppe
KS-1993;54,4;6,27;3,21;steppe
KS-1994;57,29;3,47;2,08;steppe
KS-1995;55,99;1,52;2,47;steppe
KS-1996;55,45;0,26;2,56;steppe
KS-1997;55,95;2,63;2,52;steppe
KS-1998;58,47;3,05;2,69;steppe
KS-1999;58,2;2,8;2,52;steppe
KS-2000;57,55;-0,3;2,12;steppe
KS-2001;58,18;0,62;2,31;steppe
KS-2002;57,13;-2,45;1,87;steppe
KS-2003;57,07;-1,55;2,09;steppe
KS-2004;57,31;0,24;2,58;steppe
KS-2005;58,25;1,28;2,47;steppe
KS-2006;58,29;-1,87;2,06;steppe
KS-2007;57,63;1,87;2,77;steppe
KS-2008;55,72;2,96;2,78;steppe
KS-2009;55,62;3,98;2,65;steppe
KS-2010;57,83;2,79;2,32;steppe
KS-2011;57,75;-1,84;2,01;steppe
KS-2012;60,23;-2,76;1,61;steppe
KS-2013;55,66;-2,24;2,42;steppe
KS-2014;55,87;-0,43;2,12;steppe
KS-2015;58,5;0,97;2,73;steppe
KY-1992;56,85;0;3,57;subtropical
KY-1993;56,57;0,02;3,91;subtropical
